Class;DesignRole;Approaches;Method;LOC;CC;Efferent;NOP;Smell;
br.gov.se.sefaz.sae.ti.SAEIntegracaoSAP;UNDEFINED; R, D ;gerarDAE;3;1;6;8;Muitos Parâmetros
br.gov.se.sefaz.sae.ne.EntidadeTipoDesconto;ENTITY; D ;setDtFimVigencia;4;2;3;1;Muitos Desvios
br.gov.se.sefaz.sae.emissaoDAE.to.daeAvulso.AlterarItemDAE;TRANSACAO; R, D ;process;291;120;17;0;Muitos Desvios
br.gov.se.sefaz.sae.consultas.to.contribuinte.ConsultaArrecadacaoARecolher;TRANSACAO; R, D ;setItensDocumento;58;11;13;4;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R ;atribuirPropiedadesItemDaeICMSEspecialNaoInscrito;96;13;5;2;Método Longo
br.gov.se.sefaz.sae.ng.GerenciadorIntegracao;GERENCIADORBASE; R, D ;registrarReativacaoDAE;20;4;12;4;Muitos Parâmetros
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R ;atribuirPropiedadesItemDaeReceitaOutrosOrgaos;148;25;14;2;Muitos Desvios
br.gov.se.sefaz.sae.oper.to.desmembramento.das.DesmembrarDAS;TRANSACAO; R, D ;process;99;43;16;0;Muitos Desvios
br.gov.se.sefaz.sae.tb.conciliacaoBancaria.ProcessarArqMovConsolidadoGNRE;BACKGROUNDPROCESS; R, D ;registrarRecolhimentoDocumento;230;62;30;0;Alto Acoplamento Efferent
br.gov.se.sefaz.sae.concBanc.ng.GerenciadorGNRE;GNRE; R, D ;validarDadosGNRE;69;34;15;2;Muitos Desvios
br.gov.se.sefaz.sae.ne.DedDetalheDAE;ENTITY; D ;removerEtiqueta;10;3;2;1;Muitos Desvios
br.gov.se.sefaz.sae.ng.GerenciadorTalonario;GERENCIADORBASE; R, D ;registrarHistoricoDAEManualCollecao;16;3;9;5;Muitos Parâmetros
br.gov.se.sefaz.sae.concBanc.ng.GerenciadorConcBancBase;GERENCIADORBASE; R, D ;registrarMovConsolidadoIPVA;19;2;8;8;Muitos Parâmetros
br.gov.se.sefaz.sae.conciliacaoBancaria.to.repasse.GerarArqRepasse;TRANSACAO; R, D ;gravarArquivoRepasseGNRE;159;30;15;3;Muitos Desvios
br.gov.se.sefaz.sae.emissaoDAE.to.TransacaoEmissaoDAE;TRANSACAO; R ;atribuirPropriedadesItemReceitaNaoTributaria;109;10;10;2;Método Longo
